filename,actor,year,period,genre,dominant_vector,secondary_vector,configuration,attractor_strength,total_score,gap,review_status,metadata_status,interpretation_status,notes
2001-12-22_23_Mensaje_Presidencial_Rodrxguez_Sax_Asuncixn.txt,Adolfo Rodríguez Saá,2001.0,8. Menemismo y colapso (1989–2002),apertura,paternalismo,mesianismo,paternalismo+mesianismo,strong,18.788,4.084,not_in_active_queue,clean,usable,
Mensaje Presidencial 2020.txt,Alberto Fernández,2020.0,11. Albertismo (2019–2023),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,medium,35.817,0.873,not_in_active_queue,clean,usable,NB05 ambiguity flag (secondary vector near co-dominant)
Mensaje Presidencial 2021.txt,Alberto Fernández,2021.0,11. Albertismo (2019–2023),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,medium,26.178,2.982,not_in_active_queue,clean,usable,NB05 ambiguity flag (secondary vector near co-dominant)
Mensaje Presidencial 2022.txt,Alberto Fernández,2022.0,11. Albertismo (2019–2023),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,medium,37.995,1.49,cleared_provisional,clean,usable_provisional,"near-tie cleared_provisional (gap=1.49, 3.9% of total)"
MENSAJE PRESIDENCIAL 1990.txt,Carlos Menem,1990.0,8. Menemismo y colapso (1989–2002),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,medium,52.822,9.019,not_in_active_queue,clean,usable,
MENSAJE PRESIDENCIAL 1991.txt,Carlos Menem,1991.0,8. Menemismo y colapso (1989–2002),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,strong,28.692,8.438,not_in_active_queue,clean,usable,
MENSAJE PRESIDENCIAL 1992.txt,Carlos Menem,1992.0,8. Menemismo y colapso (1989–2002),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,strong,98.679,48.91,not_in_active_queue,clean,usable,
MENSAJE PRESIDENCIAL 1993.txt,Carlos Menem,1993.0,8. Menemismo y colapso (1989–2002),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,medium,23.686,3.384,not_in_active_queue,clean,usable,
MENSAJE PRESIDENCIAL 1994.txt,Carlos Menem,1994.0,8. Menemismo y colapso (1989–2002),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,medium,55.392,4.672,cleared_provisional,clean,usable_provisional,possible_overcorrection cleared_provisional; calibration flip noted; NB05 ambiguity flag (secondary vector near co-dominant)
1995-07-08_Mensaje_Presidencial_Menem_Asuncixn.txt,Carlos Menem,1995.0,8. Menemismo y colapso (1989–2002),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,weak,11.325,2.265,not_in_active_queue,clean,usable,
MENSAJE PRESIDENCIAL 1995.txt,Carlos Menem,1995.0,8. Menemismo y colapso (1989–2002),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,medium,82.893,0.911,cleared_provisional,clean,usable_provisional,"near-tie cleared_provisional (gap=0.911, 1.1% of total)"
MENSAJE PRESIDENCIAL 1996.txt,Carlos Menem,1996.0,8. Menemismo y colapso (1989–2002),apertura,paternalismo,none,paternalismo+none,weak,32.458,32.458,not_in_active_queue,clean,usable,
MENSAJE PRESIDENCIAL 1997.txt,Carlos Menem,1997.0,8. Menemismo y colapso (1989–2002),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,medium,100.825,1.833,not_in_active_queue,clean,usable,NB05 ambiguity flag (secondary vector near co-dominant)
1998-03-01_Mensaje_Presidencial_Menem.txt,Carlos Menem,1998.0,8. Menemismo y colapso (1989–2002),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,strong,66.655,22.219,not_in_active_queue,clean,usable,
1999-03-01_Mensaje_Presidencial_Menem.txt,Carlos Menem,1999.0,8. Menemismo y colapso (1989–2002),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,strong,35.559,11.451,not_in_active_queue,clean,usable,
Asunción.Cristina.2007.txt,Cristina Fernández de Kirchner,2007.0,9. Kirchnerismo (2003–2015),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,strong,44.12,21.101,not_in_active_queue,clean,usable,
MENSAJE PRESIDENCIAL.2008.txt,Cristina Fernández de Kirchner,2008.0,9. Kirchnerismo (2003–2015),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,strong,49.078,38.408,not_in_active_queue,clean,usable,
2010-03-01 Mensaje Presidencial Fernandez.txt,Cristina Fernández de Kirchner,2010.0,9. Kirchnerismo (2003–2015),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,strong,17.927,7.683,not_in_active_queue,clean,usable,
2011-03-01 Mensaje Presidencial Fernandez.txt,Cristina Fernández de Kirchner,2011.0,9. Kirchnerismo (2003–2015),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,strong,66.326,19.31,not_in_active_queue,clean,usable,
Asunción.Cristina.2011.txt,Cristina Fernández de Kirchner,2011.0,9. Kirchnerismo (2003–2015),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,strong,21.236,10.619,not_in_active_queue,clean,usable,
2012-03-01 Mensaje Presidencial Fernandez.txt,Cristina Fernández de Kirchner,2012.0,9. Kirchnerismo (2003–2015),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,strong,18.083,4.931,not_in_active_queue,clean,usable,
2013-03-01_Asamblea_Legislativa-Fernandez.txt,Cristina Fernández de Kirchner,2013.0,9. Kirchnerismo (2003–2015),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,medium,36.965,6.607,not_in_active_queue,clean,usable,
2014-03-01_Asamblea_Legislativa-Fernandez.txt,Cristina Fernández de Kirchner,2014.0,9. Kirchnerismo (2003–2015),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,medium,37.341,0.983,cleared_provisional,clean,usable_provisional,"near-tie cleared_provisional (gap=0.983, 2.6% of total)"
2015-03-01_Asamblea_Legislativa-Fernandez.txt,Cristina Fernández de Kirchner,2015.0,10. Macrismo (2015–2019),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,medium,30.637,5.913,not_in_active_queue,clean,usable,
2002-01-01_Mensaje_Presidencial_Duhalde_Asuncixn.txt,Eduardo Duhalde,2002.0,8. Menemismo y colapso (1989–2002),apertura,paternalismo,mesianismo,paternalismo+mesianismo,strong,25.542,4.257,not_in_active_queue,clean,usable,
