actor,n_documents,n_configuration_transitions,stability_ratio,stability_label,unique_configurations,interpretive_note
Raúl Alfonsín,8,5,0.286,unstable,tecnocracia+paternalismo | paternalismo+tecnocracia | tecnocracia+mesianismo | mesianismo+tecnocracia,High orbital instability: 5 transitions across 8 documents. Configurations oscillate: tecnocracia+paternalismo → paternalismo+tecnocracia → paternalismo+tecnocracia → tecnocracia+paternalismo → tecnocracia+paternalismo → tecnocracia+mesianismo....
Cristina Fernández de Kirchner,9,4,0.5,moderate,paternalismo+tecnocracia | tecnocracia+paternalismo,"Moderately stable: 4 transition(s) in 9 documents. Configurations: paternalismo+tecnocracia, tecnocracia+paternalismo."
Carlos Menem,11,3,0.7,moderate,paternalismo+tecnocracia | paternalismo+none | tecnocracia+paternalismo,"Moderately stable: 3 transition(s) in 11 documents. Configurations: paternalismo+tecnocracia, paternalismo+none, tecnocracia+paternalismo."
Mauricio Macri,5,3,0.25,unstable,paternalismo+tecnocracia | tecnocracia+paternalismo,High orbital instability: 3 transitions across 5 documents. Configurations oscillate: paternalismo+tecnocracia → tecnocracia+paternalismo → tecnocracia+paternalismo → paternalismo+tecnocracia → tecnocracia+paternalismo.
Alberto Fernández,4,1,0.667,moderate,tecnocracia+paternalismo | paternalismo+tecnocracia,"Moderately stable: 1 transition(s) in 4 documents. Configurations: tecnocracia+paternalismo, paternalismo+tecnocracia."
Eduardo Duhalde,3,1,0.5,moderate,paternalismo+mesianismo | tecnocracia+paternalismo,"Moderately stable: 1 transition(s) in 3 documents. Configurations: paternalismo+mesianismo, tecnocracia+paternalismo."
Fernando de la Rúa,3,1,0.5,moderate,paternalismo+tecnocracia | tecnocracia+paternalismo,"Moderately stable: 1 transition(s) in 3 documents. Configurations: paternalismo+tecnocracia, tecnocracia+paternalismo."
Néstor Kirchner,5,1,0.75,stable,paternalismo+tecnocracia | tecnocracia+paternalismo,Predominantly stable configuration across 5 documents. 1 transition(s) from 4 possible. Dominant pattern: paternalismo+tecnocracia.
Adolfo Rodríguez Saá,1,0,1.0,stable,paternalismo+mesianismo,Single document — no trajectory assessable.
Javier Milei,2,0,1.0,stable,tecnocracia+mesianismo,Predominantly stable configuration across 2 documents. 0 transition(s) from 1 possible. Dominant pattern: tecnocracia+mesianismo.
