case_unit_id,short_label,n_docs,draws,dominant_candidate,candidate_share,secondary_share,indeterminate_share,median_margin,p10_margin,p90_margin
ALFONSIN_1983_1989,Alfonsín,8,2000,paternalismo,0.9755,0.0105,0.014,0.36626562499999993,0.15291875000000016,0.572984375
MENEM_I_1989_1995,Menem I,6,2000,paternalismo,0.997,0.0,0.003,0.7703333333333333,0.43033333333333323,1.1103333333333332
MENEM_II_1995_1999,Menem II,5,2000,paternalismo,1.0,0.0,0.0,1.221,0.8535999999999997,1.661
DELARUA_1999_2001,De la Rúa,3,2000,paternalismo,0.9645,0.0,0.0355,0.2968333333333333,0.04758333333333353,0.5460833333333333
RODRIGUEZ_SAA_2001,R. Saá,1,2000,paternalismo,1.0,0.0,0.0,0.536,0.536,0.536
DUHALDE_2002_2003,Duhalde,3,2000,paternalismo,0.8605,0.1395,0.0,0.47191666666666654,0.04399999999999982,1.074916666666667
KIRCHNER_2003_2007,N. Kirchner,5,2000,paternalismo,0.999,0.0,0.001,0.4235500000000001,0.21125000000000016,0.6435500000000003
CFK_I_2007_2011,CFK I,4,2000,paternalismo,1.0,0.0,0.0,1.0263749999999998,0.7485000000000002,1.3099999999999996
CFK_II_2011_2015,CFK II,5,2000,paternalismo,0.891,0.091,0.018,0.3166,0.06659999999999999,0.5666
MACRI_2015_2019,Macri,5,2000,tecnocracia,0.694,0.2025,0.1035,0.32420000000000004,0.028550000000000297,0.7562500000000001
ALBERTOF_2019_2023,A. Fernández,4,2000,paternalismo,0.9975,0.0,0.0025,0.42925000000000013,0.2450000000000001,0.6134999999999999
MILEI_2023_PRESENTE,Milei,3,2000,mesianismo,1.0,0.0,0.0,0.6409999999999996,0.5909999999999997,0.6909999999999998
