case_unit_id,case_unit_order,case_unit,short_label,actor,mandate_period,document_coverage,n_docs,evidence_tier,prior_configuration_v0_3,candidate_configuration_v0_4,candidate_notation_v0_4,candidate_pair_v0_4,dominant_v0_4,secondary_v0_4,direction_status_v0_4,leadership_margin_v0_4,pair_changed,direction_changed,pair_source_v0_4,recursive_feedback,documents_changed,review_status,adjudication_status_v0_4,adjudication_reason_v0_4,lodo_preserved,lodo_indeterminate,candidate_share,indeterminate_share,unstable_trajectory,document_transitions
ALFONSIN_1983_1989,1,Raúl Alfonsín (1983–1989),Alfonsín,Raúl Alfonsín,1983–1989,1983–1989,8,TIER_1,tecnocracia↔paternalismo,paternalismo↔tecnocracia,PAT↔TEC,PAT–TEC,paternalismo,tecnocracia,directed,0.0409898843930635,False,True,promedio documental de masa corregida,False,7,adjudicado_funcional_simetrico,trayectoria_inestable,"La masa agregada favorece PAT, pero cinco transiciones documentales y dos cierres MES→TEC impiden convertirla en tipo fijo.",7,0,0.9755,0.014,True,6
MENEM_I_1989_1995,2,Carlos Menem I (1989–1995),Menem I,Carlos Menem,1989–1995,1990–mar 1995,6,TIER_1,paternalismo+tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,directed,0.0890558766859344,False,False,promedio documental de masa corregida,False,5,adjudicado_funcional_simetrico,estable,PAT encuadra beneficiarios y continuidad; TEC ejecuta la transformación y aporta prueba.,7,0,0.997,0.003,False,1
MENEM_II_1995_1999,3,Carlos Menem II (1995–1999),Menem II,Carlos Menem,1995–1999,jul 1995–1999,5,TIER_1,paternalismo↔tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,directed,0.1411560693641618,False,True,promedio documental de masa corregida,False,4,adjudicado_funcional_simetrico,estable,La segunda presidencia conserva la pareja y la flecha bajo siete de ocho controles LODO.,7,1,1.0,0.0,False,0
DELARUA_1999_2001,4,Fernando de la Rúa (1999–2001),De la Rúa,Fernando de la Rúa,1999–2001,1999–2001,3,TIER_1,paternalismo↔tecnocracia,paternalismo↔tecnocracia,PAT↔TEC,PAT–TEC,paternalismo,tecnocracia,indeterminate,0.0343159922928708,False,False,promedio documental de masa corregida,False,1,adjudicado_funcional_simetrico,trayectoria_inestable,La secuencia pasa de PAT→TEC a equilibrio y luego TEC↔PAT; el agregado no resuelve una dirección histórica única.,7,0,0.9645,0.0355,True,2
RODRIGUEZ_SAA_2001,5,Adolfo Rodríguez Saá (2001),R. Saá,Adolfo Rodríguez Saá,2001,dic 2001,1,TIER_3,paternalismo↔mesianismo,paternalismo+mesianismo,PAT→MES,MES–PAT,paternalismo,mesianismo,directed,0.0619653179190751,False,True,promedio documental de masa corregida,False,1,adjudicado_funcional_simetrico,baja_n,PAT organiza la promesa material y MES dramatiza la excepción; n=1 exige cautela máxima.,6,1,1.0,0.0,False,0
DUHALDE_2002_2003,6,Eduardo Duhalde (2002–2003),Duhalde,Eduardo Duhalde,2002–2003,2002–2003,3,TIER_1,paternalismo+tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,directed,0.0545568400770712,False,False,promedio documental de masa corregida,False,3,adjudicado_funcional_simetrico,sensible_a_fase,La asunción de crisis abre PAT↔MES; las aperturas siguientes estabilizan PAT→TEC.,7,0,0.8605,0.0,False,1
KIRCHNER_2003_2007,7,Néstor Kirchner (2003–2007),N. Kirchner,Néstor Kirchner,2003–2007,2003–2007,5,TIER_1,paternalismo+tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,directed,0.0489653179190751,False,False,promedio documental de masa corregida,False,4,adjudicado_funcional_simetrico,trayectoria_inestable,"La pareja es estable, pero su dirección documental alterna; PAT gobierna el agregado y TEC realiza.",7,0,0.999,0.001,True,4
CFK_I_2007_2011,8,Cristina Fernández de Kirchner I (2007–2011),CFK I,Cristina Fernández de Kirchner,2007–2011,2007–mar 2011,4,TIER_1,tecnocracia↔paternalismo,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,directed,0.1189884393063583,False,True,promedio documental de masa corregida,False,3,adjudicado_funcional_simetrico,estable,La recodificación funcional ordena la antigua indeterminación: PAT encuadra y TEC opera/prueba.,7,0,1.0,0.0,False,0
CFK_II_2011_2015,9,Cristina Fernández de Kirchner II (2011–2015),CFK II,Cristina Fernández de Kirchner,2011–2015,dic 2011–2015,5,TIER_1,paternalismo+tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,directed,0.0366011560693641,False,False,promedio documental de masa corregida,False,3,adjudicado_funcional_simetrico,sensible_a_fase,El agregado permanece PAT→TEC aunque 2011 y 2014 abren configuraciones alternativas.,7,0,0.891,0.018,True,3
MACRI_2015_2019,10,Mauricio Macri (2015–2019),Macri,Mauricio Macri,2015–2019,2015–2019,5,TIER_3,paternalismo+tecnocracia,tecnocracia↔paternalismo,TEC↔PAT,PAT–TEC,tecnocracia,paternalismo,indeterminate,0.0290924855491329,False,True,promedio documental de masa corregida,False,4,adjudicado_funcional_simetrico,frontera,"TEC domina gobierno activo, PAT organiza la asunción; el bootstrap no autoriza una flecha única.",6,0,0.694,0.1035,True,4
ALBERTOF_2019_2023,11,Alberto Fernández (2019–2023),A. Fernández,Alberto Fernández,2019–2023,2019–2022,4,TIER_3,paternalismo+tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,directed,0.0496242774566473,False,False,promedio documental de masa corregida,False,4,adjudicado_funcional_simetrico,estable_provisional,PAT conserva el encuadre agregado y TEC opera; falta la apertura 2023.,7,0,0.9975,0.0025,False,2
MILEI_2023_PRESENTE,12,Javier Milei (2023–),Milei,Javier Milei,2023–,2024–2026 HCDN; 2023 contexto NB12,3,TIER_3,mesianismo+tecnocracia,mesianismo+tecnocracia,MES→TEC↺,MES–TEC,mesianismo,tecnocracia,directed,0.0741040462427745,False,False,NB17 longitudinal exhaustivo,True,1,adjudicado_funcional_simetrico,calibrador_longitudinal,"MES define tiempo, enemigo, autoridad y telos; TEC ejecuta y sus resultados retrovalidan la misión. PAT queda subordinado.",8,0,1.0,0.0,False,1
