filename,actor,case_unit_id,case_unit,year,genre,source_path,source_sha256,analysis_window,match_count,tec_matches,mes_matches,pat_matches,corpus_freeze_version,prior_configuration,candidate_configuration,candidate_notation,candidate_pair,dominant,secondary,tertiary,dominant_leadership,secondary_leadership,leadership_margin,direction_status,pair_source,recursive_feedback,tertiary_positive_retention,review_required
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,Raúl Alfonsín,ALFONSIN_1983_1989,Raúl Alfonsín (1983–1989),1983,apertura,corpus/processed/txt_analysis_ready_v3/1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,4e6a9b66bc69ef92b8056324c03e3760e2b59c39814f2b00767168e2e0a4f42f,full_presidential_document,49,31,3,15,HCDN_NB17_v0_3,tecnocracia↔paternalismo,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.3336416184971098,0.2091329479768786,0.1245086705202312,directed,masa léxica corregida por polaridad simétrica,False,1.0,True
MENSAJE PRESIDENCIAL 1984.txt,Raúl Alfonsín,ALFONSIN_1983_1989,Raúl Alfonsín (1983–1989),1984,apertura,corpus/processed/txt_analysis_ready_v3/MENSAJE PRESIDENCIAL 1984.txt,f953bab0c192c63fa05a67fd0a17e6e41b1ee3fd0ee2eccbb6b260054291c2e1,full_presidential_document,40,21,0,19,HCDN_NB17_v0_3,paternalismo↔tecnocracia,tecnocracia↔paternalismo,TEC↔PAT,PAT–TEC,tecnocracia,paternalismo,mesianismo,0.2091329479768786,0.2064739884393063,0.0026589595375722,indeterminate,masa léxica corregida por polaridad simétrica,False,0.0,False
MENSAJE PRESIDENCIAL 1985.txt,Raúl Alfonsín,ALFONSIN_1983_1989,Raúl Alfonsín (1983–1989),1985,apertura,corpus/processed/txt_analysis_ready_v3/MENSAJE PRESIDENCIAL 1985.txt,67e54865b0ac6ad468c951ba7d6012a1a02c476519440d5f901bc98eb377c7cc,full_presidential_document,39,22,3,14,HCDN_NB17_v0_3,paternalismo↔tecnocracia,paternalismo↔tecnocracia,PAT↔TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2309537572254335,0.2091329479768786,0.0218208092485548,indeterminate,masa léxica corregida por polaridad simétrica,False,1.0,True
MENSAJE PRESIDENCIAL 1986.txt,Raúl Alfonsín,ALFONSIN_1983_1989,Raúl Alfonsín (1983–1989),1986,apertura,corpus/processed/txt_analysis_ready_v3/MENSAJE PRESIDENCIAL 1986.txt,496f6416f9d37f038bef8db1688f4096b68b6842df46c724a40acd1078ddf744,full_presidential_document,26,14,6,6,HCDN_NB17_v0_3,tecnocracia↔paternalismo,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2064739884393063,0.1239306358381503,0.082543352601156,directed,masa léxica corregida por polaridad simétrica,False,1.0,False
MENSAJE PRESIDENCIAL 1987.txt,Raúl Alfonsín,ALFONSIN_1983_1989,Raúl Alfonsín (1983–1989),1987,apertura,corpus/processed/txt_analysis_ready_v3/MENSAJE PRESIDENCIAL 1987.txt,4c5d0e91b2ce29417aeadd7122cdc252a1d5e3a2a9de56cb4d927c2aa341fe77,full_presidential_document,13,9,1,3,HCDN_NB17_v0_3,tecnocracia↔paternalismo,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.1445086705202312,0.0619653179190751,0.082543352601156,directed,masa léxica corregida por polaridad simétrica,False,1.0,False
1988-12-21_Asamblea_Legislativa_Extraordinaria_Alfonsin.txt,Raúl Alfonsín,ALFONSIN_1983_1989,Raúl Alfonsín (1983–1989),1988,apertura,corpus/processed/txt_analysis_ready_v3/1988-12-21_Asamblea_Legislativa_Extraordinaria_Alfonsin.txt,ac76b58c3bf4d3bad98dfd6800d39d0e80400934df296b17606f2fcedc9304c8,full_presidential_document,2,1,1,0,HCDN_NB17_v0_3,tecnocracia+mesianismo,mesianismo+tecnocracia,MES→TEC,MES–TEC,mesianismo,tecnocracia,paternalismo,0.1445086705202312,0.0619653179190751,0.082543352601156,directed,masa léxica corregida por polaridad simétrica,False,0.0,False
MENSAJE PRESIDENCIAL 1988.txt,Raúl Alfonsín,ALFONSIN_1983_1989,Raúl Alfonsín (1983–1989),1988,apertura,corpus/processed/txt_analysis_ready_v3/MENSAJE PRESIDENCIAL 1988.txt,bd511b9fcf1b7470828f486e96ba1b6d18e4db3ff9c83027d97fe0a5e5aae4d8,full_presidential_document,29,17,0,12,HCDN_NB17_v0_3,tecnocracia↔paternalismo,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2064739884393063,0.1471676300578034,0.0593063583815028,directed,masa léxica corregida por polaridad simétrica,False,0.0,False
MENSAJE PRESIDENCIAL 1989.txt,Raúl Alfonsín,ALFONSIN_1983_1989,Raúl Alfonsín (1983–1989),1989,apertura,corpus/processed/txt_analysis_ready_v3/MENSAJE PRESIDENCIAL 1989.txt,c8b3c187c45075b76cf16b6b1708f22bf37c8bb17b579fd40bd75ff6d09e46a0,full_presidential_document,10,4,4,2,HCDN_NB17_v0_3,mesianismo↔tecnocracia,mesianismo+tecnocracia,MES→TEC,MES–TEC,mesianismo,tecnocracia,paternalismo,0.2890173410404624,0.1471676300578034,0.1418497109826589,directed,masa léxica corregida por polaridad simétrica,False,0.775,False
MENSAJE PRESIDENCIAL 1990.txt,Carlos Menem,MENEM_I_1989_1995,Carlos Menem I (1989–1995),1990,apertura,corpus/processed/txt_analysis_ready_v3/MENSAJE PRESIDENCIAL 1990.txt,18170e3c122b7b5b518c2cef06e6c4f505781d9043f4d5db387292c145ccbf6b,full_presidential_document,19,9,1,9,HCDN_NB17_v0_3,paternalismo↔tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2509826589595376,0.0619653179190751,0.1890173410404624,directed,masa léxica corregida por polaridad simétrica,False,1.0,False
MENSAJE PRESIDENCIAL 1991.txt,Carlos Menem,MENEM_I_1989_1995,Carlos Menem I (1989–1995),1991,apertura,corpus/processed/txt_analysis_ready_v3/MENSAJE PRESIDENCIAL 1991.txt,cb8d966d5b07e49a4d10839a86d1d9f09d71178f03c45954d6ea91caf1bb82a7,full_presidential_document,7,2,0,5,HCDN_NB17_v0_3,paternalismo↔tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2064739884393063,0.0619653179190751,0.1445086705202312,directed,masa léxica corregida por polaridad simétrica,False,0.0,False
