case_unit_id,short_label,omitted_function,screen_winner,candidate_winner,margin,indeterminate,preserves_candidate
ALFONSIN_1983_1989,Alfonsín,none,paternalismo,paternalismo,0.3545624999999999,False,True
ALFONSIN_1983_1989,Alfonsín,tiempo,paternalismo,paternalismo,0.3545624999999999,False,True
ALFONSIN_1983_1989,Alfonsín,problema,paternalismo,paternalismo,0.8151875,False,True
ALFONSIN_1983_1989,Alfonsín,autoridad,paternalismo,paternalismo,0.3545624999999999,False,True
ALFONSIN_1983_1989,Alfonsín,sujeto_enemigo,paternalismo,paternalismo,0.16412499999999985,False,True
ALFONSIN_1983_1989,Alfonsín,telos,tecnocracia,tecnocracia,0.7391875000000001,False,False
ALFONSIN_1983_1989,Alfonsín,sacrificio,paternalismo,paternalismo,0.3545624999999999,False,True
ALFONSIN_1983_1989,Alfonsín,medios,paternalismo,paternalismo,0.5555625,False,True
ALFONSIN_1983_1989,Alfonsín,prueba,paternalismo,paternalismo,0.6225624999999999,False,True
MENEM_I_1989_1995,Menem I,none,paternalismo,paternalismo,0.7703333333333333,False,True
MENEM_I_1989_1995,Menem I,tiempo,paternalismo,paternalismo,0.7703333333333333,False,True
MENEM_I_1989_1995,Menem I,problema,paternalismo,paternalismo,0.8931666666666666,False,True
MENEM_I_1989_1995,Menem I,autoridad,paternalismo,paternalismo,0.7703333333333333,False,True
MENEM_I_1989_1995,Menem I,sujeto_enemigo,paternalismo,paternalismo,0.7061666666666666,False,True
MENEM_I_1989_1995,Menem I,telos,tecnocracia,tecnocracia,0.4796666666666666,False,False
MENEM_I_1989_1995,Menem I,sacrificio,paternalismo,paternalismo,0.7703333333333333,False,True
MENEM_I_1989_1995,Menem I,medios,paternalismo,paternalismo,0.8340000000000001,False,True
MENEM_I_1989_1995,Menem I,prueba,paternalismo,paternalismo,1.1276666666666666,False,True
MENEM_II_1995_1999,Menem II,none,paternalismo,paternalismo,1.221,False,True
MENEM_II_1995_1999,Menem II,tiempo,paternalismo,paternalismo,1.221,False,True
MENEM_II_1995_1999,Menem II,problema,paternalismo,paternalismo,1.3684,False,True
MENEM_II_1995_1999,Menem II,autoridad,paternalismo,paternalismo,1.221,False,True
MENEM_II_1995_1999,Menem II,sujeto_enemigo,paternalismo,paternalismo,0.781,False,True
MENEM_II_1995_1999,Menem II,telos,tecnocracia,tecnocracia,0.029000000000000026,True,False
MENEM_II_1995_1999,Menem II,sacrificio,paternalismo,paternalismo,1.221,False,True
MENEM_II_1995_1999,Menem II,medios,paternalismo,paternalismo,1.3281999999999998,False,True
MENEM_II_1995_1999,Menem II,prueba,paternalismo,paternalismo,1.4354,False,True
DELARUA_1999_2001,De la Rúa,none,paternalismo,paternalismo,0.2968333333333333,False,True
DELARUA_1999_2001,De la Rúa,tiempo,paternalismo,paternalismo,0.2968333333333333,False,True
DELARUA_1999_2001,De la Rúa,problema,paternalismo,paternalismo,1.0338333333333334,False,True
DELARUA_1999_2001,De la Rúa,autoridad,paternalismo,paternalismo,0.2968333333333333,False,True
DELARUA_1999_2001,De la Rúa,sujeto_enemigo,paternalismo,paternalismo,0.15566666666666684,False,True
DELARUA_1999_2001,De la Rúa,telos,tecnocracia,tecnocracia,0.9531666666666666,False,False
DELARUA_1999_2001,De la Rúa,sacrificio,paternalismo,paternalismo,0.2968333333333333,False,True
DELARUA_1999_2001,De la Rúa,medios,paternalismo,paternalismo,0.2968333333333335,False,True
DELARUA_1999_2001,De la Rúa,prueba,paternalismo,paternalismo,0.6541666666666666,False,True
RODRIGUEZ_SAA_2001,R. Saá,none,paternalismo,paternalismo,0.536,False,True
