case_unit_id,case_unit_order,case_unit,short_label,actor,mandate_period,document_coverage,n_docs,evidence_tier,prior_configuration_v0_3,candidate_configuration_v0_4,candidate_notation_v0_4,candidate_pair_v0_4,dominant_v0_4,secondary_v0_4,direction_status_v0_4,leadership_margin_v0_4,pair_changed,direction_changed,pair_source_v0_4,recursive_feedback,documents_changed,review_status,lodo_preserved,lodo_indeterminate,n_docs_bootstrap,draws,dominant_candidate,candidate_share,secondary_share,indeterminate_share,median_margin,p10_margin,p90_margin,document_transitions,unique_document_notations,unstable_trajectory
ALFONSIN_1983_1989,1,Raúl Alfonsín (1983–1989),Alfonsín,Raúl Alfonsín,1983–1989,1983–1989,8,TIER_1,tecnocracia↔paternalismo,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,directed,0.0409898843930635,False,True,promedio documental de masa corregida,False,7,candidate_requires_adjudication,7,0,8,2000,paternalismo,0.9755,0.0105,0.014,0.36626562499999993,0.15291875000000016,0.572984375,6,4,True
MENEM_I_1989_1995,2,Carlos Menem I (1989–1995),Menem I,Carlos Menem,1989–1995,1990–mar 1995,6,TIER_1,paternalismo+tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,directed,0.0890558766859344,False,False,promedio documental de masa corregida,False,5,candidate_requires_adjudication,7,0,6,2000,paternalismo,0.997,0.0,0.003,0.7703333333333333,0.43033333333333323,1.1103333333333332,1,2,False
MENEM_II_1995_1999,3,Carlos Menem II (1995–1999),Menem II,Carlos Menem,1995–1999,jul 1995–1999,5,TIER_1,paternalismo↔tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,directed,0.1411560693641618,False,True,promedio documental de masa corregida,False,4,candidate_requires_adjudication,7,1,5,2000,paternalismo,1.0,0.0,0.0,1.221,0.8535999999999997,1.661,0,1,False
DELARUA_1999_2001,4,Fernando de la Rúa (1999–2001),De la Rúa,Fernando de la Rúa,1999–2001,1999–2001,3,TIER_1,paternalismo↔tecnocracia,paternalismo↔tecnocracia,PAT↔TEC,PAT–TEC,paternalismo,tecnocracia,indeterminate,0.0343159922928708,False,False,promedio documental de masa corregida,False,1,candidate_requires_adjudication,7,0,3,2000,paternalismo,0.9645,0.0,0.0355,0.2968333333333333,0.04758333333333353,0.5460833333333333,2,3,True
RODRIGUEZ_SAA_2001,5,Adolfo Rodríguez Saá (2001),R. Saá,Adolfo Rodríguez Saá,2001,dic 2001,1,TIER_3,paternalismo↔mesianismo,paternalismo+mesianismo,PAT→MES,MES–PAT,paternalismo,mesianismo,directed,0.0619653179190751,False,True,promedio documental de masa corregida,False,1,candidate_requires_adjudication,6,1,1,2000,paternalismo,1.0,0.0,0.0,0.536,0.536,0.536,0,1,False
DUHALDE_2002_2003,6,Eduardo Duhalde (2002–2003),Duhalde,Eduardo Duhalde,2002–2003,2002–2003,3,TIER_1,paternalismo+tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,directed,0.0545568400770712,False,False,promedio documental de masa corregida,False,3,candidate_requires_adjudication,7,0,3,2000,paternalismo,0.8605,0.1395,0.0,0.47191666666666654,0.04399999999999982,1.074916666666667,1,2,False
KIRCHNER_2003_2007,7,Néstor Kirchner (2003–2007),N. Kirchner,Néstor Kirchner,2003–2007,2003–2007,5,TIER_1,paternalismo+tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,directed,0.0489653179190751,False,False,promedio documental de masa corregida,False,4,candidate_requires_adjudication,7,0,5,2000,paternalismo,0.999,0.0,0.001,0.4235500000000001,0.21125000000000016,0.6435500000000003,4,3,True
CFK_I_2007_2011,8,Cristina Fernández de Kirchner I (2007–2011),CFK I,Cristina Fernández de Kirchner,2007–2011,2007–mar 2011,4,TIER_1,tecnocracia↔paternalismo,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,directed,0.1189884393063583,False,True,promedio documental de masa corregida,False,3,candidate_requires_adjudication,7,0,4,2000,paternalismo,1.0,0.0,0.0,1.0263749999999998,0.7485000000000002,1.3099999999999996,0,1,False
CFK_II_2011_2015,9,Cristina Fernández de Kirchner II (2011–2015),CFK II,Cristina Fernández de Kirchner,2011–2015,dic 2011–2015,5,TIER_1,paternalismo+tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,directed,0.0366011560693641,False,False,promedio documental de masa corregida,False,3,candidate_requires_adjudication,7,0,5,2000,paternalismo,0.891,0.091,0.018,0.3166,0.06659999999999999,0.5666,3,3,True
MACRI_2015_2019,10,Mauricio Macri (2015–2019),Macri,Mauricio Macri,2015–2019,2015–2019,5,TIER_3,paternalismo+tecnocracia,tecnocracia↔paternalismo,TEC↔PAT,PAT–TEC,tecnocracia,paternalismo,indeterminate,0.0290924855491329,False,True,promedio documental de masa corregida,False,4,candidate_requires_adjudication,6,0,5,2000,tecnocracia,0.694,0.2025,0.1035,0.32420000000000004,0.028550000000000297,0.7562500000000001,4,4,True
