filename,vector,total_strength,positive_strength,positive_signals,exterior_signals,low_confidence,positive_retention,leadership_score,positive_function_count,raw_score,adjusted_mass_score
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,tecnocracia,74.0,73.0,30.0,1.0,1.0,0.9864864864864865,0.20913294797687862,3.0,21.445,21.155202702702702
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,mesianismo,6.0,6.0,3.0,0.0,0.0,1.0,0.2890173410404624,2.0,2.428,2.428
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,paternalismo,38.0,34.4,15.0,0.0,0.0,0.9052631578947368,0.3336416184971098,3.0,15.376,13.919326315789473
MENSAJE PRESIDENCIAL 1984.txt,tecnocracia,46.0,46.0,21.0,0.0,0.0,1.0,0.20913294797687862,3.0,17.78,17.78
MENSAJE PRESIDENCIAL 1984.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MENSAJE PRESIDENCIAL 1984.txt,paternalismo,43.0,37.0,16.0,3.0,0.0,0.8604651162790697,0.20647398843930637,2.0,23.524,20.241581395348838
MENSAJE PRESIDENCIAL 1985.txt,tecnocracia,57.0,57.0,22.0,0.0,1.0,1.0,0.20913294797687862,3.0,30.415,30.415
MENSAJE PRESIDENCIAL 1985.txt,mesianismo,9.0,9.0,3.0,0.0,0.0,1.0,0.27167630057803466,2.0,7.398,7.398
MENSAJE PRESIDENCIAL 1985.txt,paternalismo,38.0,32.15,14.0,0.0,0.0,0.8460526315789473,0.23095375722543351,3.0,31.237,26.428146052631575
MENSAJE PRESIDENCIAL 1986.txt,tecnocracia,34.0,32.0,13.0,1.0,0.0,0.9411764705882353,0.1239306358381503,2.0,18.935,17.821176470588235
MENSAJE PRESIDENCIAL 1986.txt,mesianismo,13.0,13.0,6.0,0.0,0.0,1.0,0.1445086705202312,1.0,9.846,9.846
MENSAJE PRESIDENCIAL 1986.txt,paternalismo,16.0,16.0,6.0,0.0,0.0,1.0,0.20647398843930637,2.0,12.118,12.118
MENSAJE PRESIDENCIAL 1987.txt,tecnocracia,23.0,21.0,8.0,1.0,0.0,0.9130434782608695,0.06196531791907515,1.0,16.221,14.810478260869564
MENSAJE PRESIDENCIAL 1987.txt,mesianismo,3.0,3.0,1.0,0.0,0.0,1.0,0.1445086705202312,1.0,2.433,2.433
MENSAJE PRESIDENCIAL 1987.txt,paternalismo,8.0,8.0,3.0,0.0,0.0,1.0,0.1445086705202312,1.0,6.488,6.488
1988-12-21_Asamblea_Legislativa_Extraordinaria_Alfonsin.txt,tecnocracia,3.0,3.0,1.0,0.0,0.0,1.0,0.06196531791907515,1.0,5.82,5.82
1988-12-21_Asamblea_Legislativa_Extraordinaria_Alfonsin.txt,mesianismo,3.0,3.0,1.0,0.0,0.0,1.0,0.1445086705202312,1.0,5.82,5.82
1988-12-21_Asamblea_Legislativa_Extraordinaria_Alfonsin.txt,paternalismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MENSAJE PRESIDENCIAL 1988.txt,tecnocracia,42.0,39.0,16.0,1.0,0.0,0.9285714285714286,0.14716763005780348,2.0,33.572,31.174000000000003
MENSAJE PRESIDENCIAL 1988.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MENSAJE PRESIDENCIAL 1988.txt,paternalismo,27.0,24.75,12.0,0.0,0.0,0.9166666666666666,0.20647398843930637,2.0,29.24,26.80333333333333
MENSAJE PRESIDENCIAL 1989.txt,tecnocracia,8.0,8.0,4.0,0.0,0.0,1.0,0.14716763005780348,2.0,9.595,9.595
MENSAJE PRESIDENCIAL 1989.txt,mesianismo,8.0,8.0,4.0,0.0,0.0,1.0,0.2890173410404624,2.0,12.794,12.794
