case_unit_id,short_label,n_docs,document_transitions,unique_document_notations,trajectory_sequence,unstable_trajectory
ALFONSIN_1983_1989,Raúl Alfonsín (1983–1989),8,6,4,1983 PAT→TEC | 1984 TEC↔PAT | 1985 PAT↔TEC | 1986 PAT→TEC | 1987 PAT→TEC | 1988 MES→TEC | 1988 PAT→TEC | 1989 MES→TEC,True
MENEM_I_1989_1995,Carlos Menem I (1989–1995),6,1,2,1990 PAT→TEC | 1991 PAT→TEC | 1992 PAT→TEC | 1993 PAT→TEC | 1994 PAT→TEC | 1995 TEC↔PAT,False
MENEM_II_1995_1999,Carlos Menem II (1995–1999),5,0,1,1995 PAT→TEC | 1996 PAT→TEC | 1997 PAT→TEC | 1998 PAT→TEC | 1999 PAT→TEC,False
DELARUA_1999_2001,Fernando de la Rúa (1999–2001),3,2,3,1999 PAT→TEC | 2000 PAT↔TEC | 2001 TEC↔PAT,True
RODRIGUEZ_SAA_2001,Adolfo Rodríguez Saá (2001),1,0,1,2001 PAT→MES,False
DUHALDE_2002_2003,Eduardo Duhalde (2002–2003),3,1,2,2002 PAT↔MES | 2002 PAT→TEC | 2003 PAT→TEC,False
KIRCHNER_2003_2007,Néstor Kirchner (2003–2007),5,4,3,2003 PAT→TEC | 2004 TEC↔PAT | 2005 PAT↔TEC | 2006 PAT→TEC | 2007 PAT↔TEC,True
CFK_I_2007_2011,Cristina Fernández de Kirchner I (2007–2011),4,0,1,2007 PAT→TEC | 2008 PAT→TEC | 2010 PAT→TEC | 2011 PAT→TEC,False
CFK_II_2011_2015,Cristina Fernández de Kirchner II (2011–2015),5,3,3,2011 MES↔TEC | 2012 PAT→TEC | 2013 PAT→TEC | 2014 TEC↔PAT | 2015 PAT→TEC,True
MACRI_2015_2019,Mauricio Macri (2015–2019),5,4,4,2015 PAT→TEC | 2016 TEC→PAT | 2017 TEC↔PAT | 2018 TEC→PAT | 2019 TEC↔MES,True
ALBERTOF_2019_2023,Alberto Fernández (2019–2023),4,2,2,2019 PAT→TEC | 2020 PAT→TEC | 2021 TEC↔PAT | 2022 PAT→TEC,False
MILEI_2023_PRESENTE,Javier Milei (2023–),3,1,2,2024 MES→TEC | 2025 MES→TEC↺ | 2026 MES→TEC↺,False
